title,document_url,company_url,page_number,direct_download_url
Flame Tree Group Holdings Limited (FTGH.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-ftgh-2023-ar-00/,https://africanfinancials.com/company/ke-ftgh/,25,https://drive.google.com/uc?export=download&id=1LlFUqd8t8uN5isoORHPvZIqaYTzKwAf1
Home Afrika Limited (HAFR.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-hafr-2023-ar-00/,https://africanfinancials.com/company/ke-hafr/,26,https://drive.google.com/uc?export=download&id=1cJNxd76naq9Kv5CXFqNekJmfq69RG-J4
TPS Eastern Africa (Serena) Limited (TPSE.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-tpse-2023-ar-00/,https://africanfinancials.com/company/ke-tpse/,26,https://drive.google.com/uc?export=download&id=1wxwreDzAifLVH7K1iKLJuhYTOZUSGc21
BOC Kenya Limited (BOC.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-boc-2023-ar-00/,https://africanfinancials.com/company/ke-boc/,26,https://drive.google.com/uc?export=download&id=1wJbCdx3JNjPkVYiP1ol-t7yRhnlOHi_U
Kenya Re-Insurance Corporation Limited (KNRE.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-knre-2023-ar-00/,https://africanfinancials.com/company/ke-knre/,26,https://drive.google.com/uc?export=download&id=1w_PpVGl-SN4m2BZibqfvlQq9pNxJxdWu
Britam Holdings Limited (BRIT.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-brit-2023-ar-00/,https://africanfinancials.com/company/ke-brit/,26,https://drive.google.com/uc?export=download&id=1uyWRFm3byArh__aT9stjlPqMwIFZFeoE
Bamburi Cement Limited (BAMB.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-bamb-2023-ar-00/,https://africanfinancials.com/company/ke-bamb/,26,https://drive.google.com/uc?export=download&id=1Ih6hEFqzsJoIE44mJbY0kVFqEWA3nFTo
Jubilee Holdings Limited (JUB.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-jub-2023-ar-00/,https://africanfinancials.com/company/ke-jub/,26,https://drive.google.com/uc?export=download&id=1cplqUy3PAzCvk4swSCCFVWvscaHz1G6l
Kenya Airways Limited (KQ.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kq-2023-ar-00/,https://africanfinancials.com/company/ke-kq/,26,https://drive.google.com/uc?export=download&id=1DR7q_RTkStyG_3n7_6dRCxBujh6HUeNb
Sanlam Kenya Plc (SLAM.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-slam-2023-ar-00/,https://africanfinancials.com/company/ke-slam/,26,https://drive.google.com/uc?export=download&id=1NedLUWMSuLyF4h6psAtUOXjjoNlu_8wb
Nation Media Group Limited (NMG.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-nmg-2023-ar-00/,https://africanfinancials.com/company/ke-nmg/,26,https://drive.google.com/uc?export=download&id=1AtakKugU9pEYPkY5pju-rj-1exLuXVfk
TotalEnergies Marketing Kenya Plc (TOTL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-totl-2023-ar-00/,https://africanfinancials.com/document/ke-totl-2023-ar-00/,27,https://drive.google.com/uc?export=download&id=1ERLcrJwffwSA_Wvnne56mTE_-U4yj_pO
Crown Paints Kenya (CRWN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-crwn-2023-ar-00/,https://africanfinancials.com/company/ke-crwn/,27,https://drive.google.com/uc?export=download&id=17iPo9tdfnVz7U6vbrdGOf-8WQfaL3FpV
Eveready East Africa Limited (EVRD.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-evrd-2023-ar-00/,https://africanfinancials.com/company/ke-evrd/,27,https://drive.google.com/uc?export=download&id=1s6gj_VT77rvIBFEJ3DbBoGBGdw025G8d
Sameer Africa Limited (SAMEER.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-sameer-2023-ar-00/,https://africanfinancials.com/company/ke-sameer/,27,https://drive.google.com/uc?export=download&id=1U1LbC_pvNZgXoHQl8nub4OlTEiRKQuu2
I&M Group Plc (IMH.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-imh-2023-ar-00/,https://africanfinancials.com/company/ke-imh/,28,https://drive.google.com/uc?export=download&id=10eIjSptBoGOEYFQAcGKoyFqayvhKm5vt
ScanGroup Limited (SCAN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-scan-2023-ar-00/,https://africanfinancials.com/company/ke-scan/,28,https://drive.google.com/uc?export=download&id=1v2F5udQzCOFoMS_209pEzPObKgu5lDQ4
CIC Insurance Group (CIC.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-cic-2023-ar-00/,https://africanfinancials.com/company/ke-cic/,28,https://drive.google.com/uc?export=download&id=1rzMlwoZMqtUB9AYhAq7xXlstybkqtJZA
BK Group Plc (BKG.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-bkg-2023-ar-00/,https://africanfinancials.com/company/ke-bkg/,28,https://drive.google.com/uc?export=download&id=1bv1OYd_HdvwcLyua9bW4GmwF_C6BWZvZ
