title,document_url,company_url,page_number
HF Group Limited (HFCK.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-hfck-2022-ar-00/,https://africanfinancials.com/company/ke-hfck/,13
Sanlam Kenya Plc (SLAM.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-slam-2022-ar-00/,https://africanfinancials.com/company/ke-slam/,13
ScanGroup Limited (SCAN.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-scan-2022-ar-00/,https://africanfinancials.com/company/ke-scan/,13
Kenya Re-Insurance Corporation Limited (KNRE.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-knre-2022-ar-00/,https://africanfinancials.com/company/ke-knre/,13
I&M Group Plc (IMH.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-imh-2022-ar-00/,https://africanfinancials.com/company/ke-imh/,13
Absa Bank Kenya Plc (ABSA.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-absa-2022-ar-00/,https://africanfinancials.com/company/ke-absa/,13
Bamburi Cement Limited (BAMB.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-bamb-2022-ar-00/,https://africanfinancials.com/company/ke-bamb/,13
Umeme Limited (UMME.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-umme-2022-ar-00/,https://africanfinancials.com/company/ke-umme/,13
KCB Group Plc (KCB.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-kcb-2022-ar-00/,https://africanfinancials.com/company/ke-kcb/,13
Standard Chartered Bank Limited (SCBK.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-scbk-2022-ar-00/,https://africanfinancials.com/company/ke-scbk/,13
The Co-operative Bank of Kenya Limited (COOP.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-coop-2024-ar-00/,https://africanfinancials.com/company/ke-coop/,14
Nairobi Securities Exchange Limited (NSE.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-nse-2024-ar-00/,https://africanfinancials.com/company/ke-nse/,14
KCB Group Plc (KCB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kcb-2024-ar-00/,https://africanfinancials.com/company/ke-kcb/,14
Longhorn Publishers Plc (LKL.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-lkl-2022-ar-00/,https://africanfinancials.com/company/ke-lkl/,15
Carbacid Investments Plc (CARB.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-carb-2022-ar-00/,https://africanfinancials.com/company/ke-carb/,15
Eaagads Limited (EGAD.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-egad-2022-ar-00/,https://africanfinancials.com/company/ke-egad/,15
East African Breweries PLC (EABL.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-eabl-2022-ar-00-2/,https://africanfinancials.com/company/ke-eabl/,15
Williamson Tea Kenya Limited (WTK.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-wtk-2022-ar-00/,https://africanfinancials.com/company/ke-wtk/,15
Nairobi Business Venture Limited (NBV.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-nbv-2022-ar-00/,https://africanfinancials.com/company/ke-nbv/,15
Kapchorua Tea Company Plc (KAPC.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-kapc-2022-ar-00/,https://africanfinancials.com/company/ke-kapc/,15
Centum Investment Company Plc (CTUM.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-ctum-2022-ar-00/,https://africanfinancials.com/company/ke-ctum/,15
Trans-Century Limited (TCL.ke) 2019 Annual Report,https://africanfinancials.com/document/ke-tcl-2019-ar-00/,https://africanfinancials.com/company/ke-tcl/,15
Uchumi Supermarkets Limited (UCHM.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-uchm-2022-ar-00/,https://africanfinancials.com/company/ke-uchm/,15
Kurwitu Ventures Limited (KURV.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-kurv-2022-ar-00/,https://africanfinancials.com/company/ke-kurv/,15
